"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Silvered Light Crossbow","PHB","unknown","simple weapon, ranged weapon","","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","5 lb.","125 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Light Hammer","PHB","unknown","simple weapon, melee weapon","","1d4, bludgeoning, - light, thrown (20/60 ft.)","2 lb.","102 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Silvered Light Repeating Crossbow","PHB","unknown","simple weapon, ranged weapon","","1d8, piercing, - ammunition (40/160 ft.), two-handed","5 lb.","","The base item can be found in Out of the Abyss, page 224.This crossbow is fitted with a cartridge that can hold up to six crossbow bolts. It automatically reloads after firing until the cartridge runs out of ammunition. Reloading the cartridge takes an action. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Longbow","PHB","unknown","martial weapon, ranged weapon","","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.","150 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Longsword","PHB","unknown","martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.","115 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered Mace","PHB","unknown","simple weapon, melee weapon","","1d6, bludgeoning","4 lb.","105 gp",""
"Silvered Maul","PHB","unknown","martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","110 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Modern Bullet","PHB","unknown","modern, ammunition","","","1.6 oz.","",""
"Silvered Morningstar","PHB","unknown","martial weapon, melee weapon","","1d8, piercing","4 lb.","115 gp",""
"Silvered Musket","PHB","unknown","firearm, renaissance, martial weapon, ranged weapon","","1d12, piercing, - ammunition (40/120 ft.), loading, two-handed","10 lb.","600 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Pike","PHB","unknown","martial weapon, melee weapon","","1d10, piercing, - heavy, reach, two-handed","18 lb.","105 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Pistol","PHB","unknown","firearm, renaissance, martial weapon, ranged weapon","","1d10, piercing, - ammunition (30/90 ft.), loading","3 lb.","350 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Silvered Quarterstaff","PHB","unknown","simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","100 gp, 2 sp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered Rapier","PHB","unknown","martial weapon, melee weapon","","1d8, piercing, - finesse","2 lb.","125 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
"Silvered Renaissance Bullet","PHB","unknown","renaissance, ammunition","","","3.2 oz.","",""
"Silvered Revolver","PHB","unknown","firearm, modern, martial weapon, ranged weapon","","2d8, piercing, - ammunition (40/120 ft.), reload (6 shots)","3 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Silvered Scimitar","PHB","unknown","martial weapon, melee weapon","","1d6, slashing, - finesse, light","3 lb.","125 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Silvered Shortbow","PHB","unknown","simple weapon, ranged weapon","","1d6, piercing, - ammunition (80/320 ft.), two-handed","2 lb.","125 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Shortsword","PHB","unknown","martial weapon, melee weapon","","1d6, piercing, - finesse, light","2 lb.","110 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Silvered Shotgun","PHB","unknown","firearm, modern, martial weapon, ranged weapon","","2d8, piercing, - ammunition (30/90 ft.), reload (2 shots), two-handed","7 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Sickle","PHB","unknown","simple weapon, melee weapon","","1d4, slashing, - light","2 lb.","101 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Silvered Sling","PHB","unknown","simple weapon, ranged weapon","","1d4, bludgeoning, - ammunition (30/120 ft.)","","100 gp, 1 sp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way."
"Silvered Sling Bullet","PHB","unknown","ammunition","","","1.2 oz.","",""
"Silvered Spear","PHB","unknown","simple weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.","101 gp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered Trident","PHB","unknown","martial weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.","105 gp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered War Pick","PHB","unknown","martial weapon, melee weapon","","1d8, piercing","2 lb.","105 gp",""
"Silvered Warhammer","PHB","unknown","martial weapon, melee weapon","","1d8, bludgeoning, - versatile (1d10)","2 lb.","115 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered Weapon","PHB","unknown","generic variant","","","","","Some monsters that have immunity or resistance to nonmagical weapons are susceptible to silver weapons, so cautious adventurers invest extra coin to plate their weapons with silver. You can silver a single weapon for 100 gp. This cost represents not only the price of the silver, but the time and expertise needed to add silver to the weapon without making it less effective. Base items. This item variant can be applied to the following base items:Antimatter Rifle (Silvered Antimatter Rifle)Automatic Pistol (Silvered Automatic Pistol)Automatic Rifle (Silvered Automatic Rifle)Battleaxe (Silvered Battleaxe)Blowgun (Silvered Blowgun)Club (Silvered Club)Dagger (Silvered Dagger)Dart (Silvered Dart)Double-Bladed Scimitar (Silvered Double-Bladed Scimitar)Flail (Silvered Flail)Glaive (Silvered Glaive)Greataxe (Silvered Greataxe)Greatclub (Silvered Greatclub)Greatsword (Silvered Greatsword)Halberd (Silvered Halberd)Hand Crossbow (Silvered Hand Crossbow)Handaxe (Silvered Handaxe)Heavy Crossbow (Silvered Heavy Crossbow)Hooked Shortspear (Silvered Hooked Shortspear)Hunting Rifle (Silvered Hunting Rifle)Javelin (Silvered Javelin)Lance (Silvered Lance)Laser Pistol (Silvered Laser Pistol)Laser Rifle (Silvered Laser Rifle)Light Crossbow (Silvered Light Crossbow)Light Hammer (Silvered Light Hammer)Light Repeating Crossbow (Silvered Light Repeating Crossbow)Longbow (Silvered Longbow)Longsword (Silvered Longsword)Mace (Silvered Mace)Maul (Silvered Maul)Morningstar (Silvered Morningstar)Musket (Silvered Musket)Pike (Silvered Pike)Pistol (Silvered Pistol)Quarterstaff (Silvered Quarterstaff)Rapier (Silvered Rapier)Revolver (Silvered Revolver)Scimitar (Silvered Scimitar)Shortbow (Silvered Shortbow)Shortsword (Silvered Shortsword)Shotgun (Silvered Shotgun)Sickle (Silvered Sickle)Sling (Silvered Sling)Spear (Silvered Spear)Trident (Silvered Trident)War Pick (Silvered War Pick)Warhammer (Silvered Warhammer)Whip (Silvered Whip)Yklwa (Silvered Yklwa)"
"Silvered Whip","PHB","unknown","martial weapon, melee weapon","","1d4, slashing, - finesse, reach","3 lb.","102 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
"Silvered Yklwa","PHB","unknown","simple weapon, melee weapon","","1d8, piercing, - thrown (10/30 ft.)","3 lb.","101 gp","The base item can be found in Tomb of Annihilation, page 32.A yklwa (pronounced YICK-ul-wah) is a simple melee weapon that is the traditional weapon of Chultan warriors. A yklwa consists of a 3-foot wooden shaft with a steel or stone blade up to 18 inches long. Although it has the thrown weapon property, the yklwa is not well balanced for throwing. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Sled","PHB","none","vehicle (land)","","","300 lb.","20 gp",""
"Sledgehammer","PHB","none","adventuring gear","","","10 lb.","2 gp",""
"Sling","PHB","none","simple weapon, ranged weapon","","1d4, bludgeoning, - ammunition (30/120 ft.)","","1 sp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way."
"Sling Bullet","PHB","none","ammunition","","","1.2 oz.","0,2 cp",""
"Sling Bullets (20)","PHB","none","ammunition","","","1½ lb.","4 cp",""
"Smith's Tools","PHB","none","artisan's tools","","","8 lb.","20 gp","Smith's tools allow you to work metal, heating it to alter its shape, repair damage, or work raw ingots into useful items. Components. Smith's tools include hammers, tongs, charcoal, rags, and a whetstone. Arcana and History. Your expertise lends you additional insight when examining metal objects, such as weapons. Investigation. You can spot clues and make deductions that others might overlook when an investigation involves armor, weapons, or other metalwork. Repair. With access to your tools and an open flame hot enough to make metal pliable, you can restore 10 hit points to a damaged metal object for each hour of work.Smith's ToolsActivityDCSharpen a dull blade10Repair a suit of armor15Sunder a nonmagical metal object15See the Tool Proficiencies entry for more information."
"Soap","PHB","none","adventuring gear","","","","2 cp",""
"Spear","PHB","none","simple weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.","1 gp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Spellbook","PHB","none","adventuring gear","","","3 lb.","50 gp","Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"Spiked Barding","PHB","none","tack and harness","","AC 14","90 lb.","300 gp","The base item can be found in Sword Coast Adventurer’s Guide, page 121.Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal."
"Splint Armor","PHB","none","heavy armor","","AC 17","60 lb.","200 gp","This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Splint Barding","PHB","none","tack and harness","","AC 17","120 lb.","800 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints."
"Sprig of Mistletoe","PHB","none","spellcasting focus","","","","1 gp","A druid can use this object as a spellcasting focus."
"Spyglass","PHB","none","adventuring gear","","","1 lb.","1000 gp","Objects viewed through a spyglass are magnified to twice their size."
"Stabling (per day)","PHB","none","tack and harness","","","","5 sp",""
"Staff","PHB","none","staff, melee weapon, spellcasting focus","","","4 lb.","5 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Steel Mirror","PHB","none","adventuring gear","","","½ lb.","5 gp",""
"Studded Leather Armor","PHB","none","light armor","","AC 12 + Dex","13 lb.","45 gp","Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
"Studded Leather Barding","PHB","none","tack and harness","","AC 12","26 lb.","180 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
"Tankard","PHB","none","adventuring gear","","","1 lb.","2 cp","A tankard holds 1 pint of liquid."
"Thieves' Tools","PHB","none","tools","","","1 lb.","25 gp","This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.Perhaps the most common tools used by adventurers, thieves' tools are designed for picking locks and foiling traps. Proficiency with the tools also grants you a general knowledge of traps and locks. Components. Thieves' tools include a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. History. Your knowledge of traps grants you insight when answering questions about locations that are renowned for their traps. Investigation and Perception. You gain additional insight when looking for traps, because you have learned a variety of common signs that betray their presence. Set a Trap. Just as you can disable traps, you can also set them. As part of a short rest, you can create a trap using items you have on hand. The total of your check becomes the DC for someone else's attempt to discover or disable the trap. The trap deals damage appropriate to the materials used in crafting it (such as poison or a weapon) or damage equal to half the total of your check, whichever the DM deems appropriate.Thieves' ToolsActivityDCPick a lockVariesDisable a trapVariesSee the Tool Proficiencies entry for more information."
"Three-Dragon Ante Set","PHB","none","gaming set","","","","1 gp","See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Tinderbox","PHB","none","adventuring gear","","","1 lb.","5 sp","This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch—or anything else with abundant, exposed fuel—takes an action. Lighting any other fire takes 1 minute."
"Tinker's Tools","PHB","none","artisan's tools","","","10 lb.","50 gp","A set of tinker's tools is designed to enable you to repair many mundane objects. Though you can't manufacture much with tinker's tools, you can mend torn clothes, sharpen a worn sword, and patch a tattered suit of chain mail. Components. Tinker's tools include a variety of hand tools, thread, needles, a whetstone, scraps of cloth and leather, and a small pot of glue. History. You can determine the age and origin of objects, even if you have only a few pieces remaining from the original. Investigation. When you inspect a damaged object, you gain knowledge of how it was damaged and how long ago. Repair. You can restore 10 hit points to a damaged object for each hour of work. For any object, you need access to the raw materials required to repair it. For metal objects, you need access to an open flame hot enough to make the metal pliable.Tinker's ToolsActivityDCTemporarily repair a disabled device10Repair an item in half the time15Improvise a temporary item using scraps20See the Tool Proficiencies entry for more information."
"Torch","PHB","none","adventuring gear","","","1 lb.","1 cp","A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage."
"Totem","PHB","none","spellcasting focus","","","","1 gp","A druid can use this object as a spellcasting focus."
"Traveler's Clothes","PHB","none","adventuring gear","","","4 lb.","2 gp",""
"Trident","PHB","none","martial weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.","5 gp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Trinket","PHB","none","adventuring gear","","","","","When you make your character, you can roll once on the Trinkets table to gain a trinket, a simple item lightly touched by mystery. The DM might also use this table. It can help stock a room in a dungeon or fill a creatures pockets.Player's Handbook Trinket Tabled100Trinket01A mummified goblin hand02A piece of crystal that faintly glows in the moonlight03A gold coin minted in an unknown land04A diary written in a language you don't know05A brass ring that never tarnishes06An old chess piece made from glass07A pair of knucklebone dice, each with a skull symbol on the side that would normally show six pips08A small idol depicting a nightmarish creature that gives you unsettling dreams when you sleep near it09A rope necklace from which dangles four mummified elf fingers10The deed for a parcel of land in a realm unknown to you11A 1-ounce block made from an unknown material12A small cloth doll skewered with needles13A tooth from an unknown beast14An enormous scale, perhaps from a dragon15A bright green feather16An old divination card bearing your likeness17A glass orb filled with moving smoke18A 1-pound egg with a bright red shell19A pipe that blows bubbles20A glass jar containing a weird bit of flesh floating in pickling fluid21A tiny gnome-crafted music box that plays a song you dimly remember from your childhood22A small wooden statuette of a smug halfling23A brass orb etched with strange runes24A multicolored stone disk25A tiny silver icon of a raven26A bag containing forty-seven humanoid teeth, one of which is rotten27A shard of obsidian that always feels warm to the touch28A dragon's bony talon hanging from a plain leather necklace29A pair of old socks30A blank book whose pages refuse to hold ink, chalk, graphite, or any other substance or marking31A silver badge in the shape of a five-pointed star32A knife that belonged to a relative33A glass vial filled with nail clippings34A rectangular metal device with two tiny metal cups on one end that throws sparks when wet35A white, sequined glove sized for a human36A vest with one hundred tiny pockets37A small, weightless stone block38A tiny sketch portrait of a goblin39An empty glass vial that smells of perfume when opened40A gemstone that looks like a lump of coal when examined by anyone but you41A scrap of cloth from an old banner42A rank insignia from a lost legionnaire43A tiny silver bell without a clapper44A mechanical canary inside a gnomish lamp45A tiny chest carved to look like it has numerous feet on the bottom46A dead sprite inside a clear glass bottle47A metal can that has no opening but sounds as if it is filled with liquid, sand, spiders, or broken glass (your choice)48A glass orb filled with water, in which swims a clockwork goldfish49A silver spoon with an 'M' engraved on the handle50A whistle made from gold-colored wood51A dead scarab beetle the size of your hand52Two toy soldiers, one with a missing head 53A small box filled with different-sized buttons54A candle that can't be lit55A tiny cage with no door56An old key57An indecipherable treasure map58A hilt from a broken sword59A rabbit's foot60A glass eye61A cameo carved in the likeness of a hideous person62A silver skull the size of a coin63An alabaster mask64A pyramid of sticky black incense that smells very bad65A nightcap that, when worn, gives you pleasant dreams66A single caltrop made from bone67A gold monocle frame without the lens68A 1-inch cube, each side painted a different color69A crystal knob from a door70A small packet filled with pink dust71A fragment of a beautiful song, written as musical notes on two pieces of parchment72A silver teardrop earring made from a real teardrop73The shell of an egg painted with scenes of human misery in disturbing detail74A fan that, when unfolded, shows a sleeping cat75A set of bone pipes76A four-leaf clover pressed inside a book discussing manners and etiquette77A sheet of parchment upon which is drawn a complex mechanical contraption78An ornate scabbard that fits no blade you have found so far79An invitation to a party where a murder happened80A bronze pentacle with an etching of a rat's head in its center81A purple handkerchief embroidered with the name of a powerful archmage82Half of a floorplan for a temple, castle, or some other structure83A bit of folded cloth that, when unfolded, turns into a stylish cap84A receipt of deposit at a bank in a far-flung city85A diary with seven missing pages86An empty silver snuffbox bearing an inscription on the surface that says ""dreams""87An iron holy symbol devoted to an unknown god88A book that tells the story of a legendary hero's rise and fall, with the last chapter missing89A vial of dragon blood90An ancient arrow of elven design91A needle that never bends92An ornate brooch of dwarven design93An empty wine bottle bearing a pretty label that says, ""The Wizard of Wines Winery, Red Dragon Crush, 331422-W""94A mosaic tile with a multicolored, glazed surface95A petrified mouse96A black pirate flag adorned with a dragon's skull and crossbones97A tiny mechanical crab or spider that moves about when it's not being observed98A glass jar containing lard with a label that reads, ""Griffon Grease""99A wooden box with a ceramic bottom that holds a living worm with a head on each end of its body100A metal urn containing the ashes of a hero"
"Two-Person Tent","PHB","none","adventuring gear","","","20 lb.","2 gp","A simple and portable canvas shelter, a tent sleeps two."
"Vial","PHB","none","adventuring gear","","","","1 gp","A vial can hold up to 4 ounces of liquid."
"Viol","PHB","none","instrument","","","1 lb.","30 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Wagon","PHB","none","vehicle (land)","","","400 lb.","35 gp",""
"Wand","PHB","none","spellcasting focus","","","1 lb.","10 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"War Pick","PHB","none","martial weapon, melee weapon","","1d8, piercing","2 lb.","5 gp",""
"Warhammer","PHB","none","martial weapon, melee weapon","","1d8, bludgeoning, - versatile (1d10)","2 lb.","15 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Warhorse","PHB","none","mount","","Speed: 60, Carrying Capacity: 540 lb.","","400 gp",""
"Waterskin","PHB","none","adventuring gear","","","5 lb. (full)","2 sp","A waterskin can hold up to 4 pints of liquid."
